   TESTNO,               DATE,     RANK,   CODE,                                             TYPE,   LOAD,SPINDLE,  RFVcw,RFVcw1H,RFVcw2H,RFVcw3H,  LFVcw,LFVcw1H,LFVcw2H,LFVcw3H,  LFDcw,  RFVcc,RFVcc1H,RFVcc2H,RFVcc3H,  LFVcc,LFVcc1H,LFVcc2H,LFVcc3H,  LFDcc,    CON,    PLY,   RROt,   RROc, RROc1H,   RROb,   LROt, LROt1H,   LROb, LROb1H, BULGEt, BULGEb,  DENTt,  DENTb, DRRAvg,RFVcwRANK,RFVcw1HRANK,LFVcwRANK,LFVcw1HRANK,LFDcwRANK,RFVccRANK,RFVcc1HRANK,LFVccRANK,LFVcc1HRANK,LFDccRANK,CONRANK,PLYRANK,RROtRANK,RROcRANK,RROc1HRANK,RRObRANK,LROtRANK,LROt1HRANK,LRObRANK,LROb1HRANK,BULGEtRANK,BULGEbRANK,DENTtRANK,DENTbRANK,DRRAvgRank,CONTEST,LROtTEST,LRObTEST,RROcTEST,
    143,2018/06/27  15:50:41,        A,   0800,              KT245/45R18YXL        04K117BLBCGK ,  406.5,     59,    5.9,    5.0,    1.4,    0.5,    2.2,    1.5,    0.7,    0.2,   13.1,    6.1,    5.0,    1.3,    0.4,    3.4,    2.9,    0.7,    0.4,  -16.1,   -1.5,   14.6,   0.00,   0.23,   0.24,   0.00,   0.00,   0.00,   0.64,   0.43,   0.00,   0.09,   0.00,   0.11, 325.40,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      1,      1,      1,      1,
    144,2018/06/27  15:51:09,        A,   0800,              KT245/45R18YXL        04K117BLBCGK ,  407.3,     59,    3.0,    0.5,    1.4,    1.0,    2.8,    1.4,    1.2,    0.4,   14.5,    4.5,    2.2,    2.0,    0.9,    2.5,    2.0,    0.7,    0.3,  -13.9,    0.3,   14.2,   0.00,   0.23,   0.13,   0.00,   0.00,   0.00,   0.42,   0.33,   0.00,   0.20,   0.00,   0.17, 325.50,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      1,      1,      1,      1,
    145,2018/06/27  15:52:32,        A,   0800,              KT245/45R18YXL        04K117BLBCGK ,  406.5,     59,    5.0,    2.9,    1.7,    0.3,    1.1,    0.1,    0.5,    0.1,   14.7,    4.0,    2.0,    1.4,    0.3,    2.0,    1.1,    1.0,    0.2,  -17.4,   -1.4,   16.1,   0.00,   0.20,   0.11,   0.00,   0.00,   0.00,   0.40,   0.13,   0.00,   0.21,   0.00,   0.19, 325.81,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      1,      1,      1,      1,
    146,2018/06/27  15:52:57,        A,   0800,              KT245/45R18YXL        04K117BLBCGK ,  406.5,     59,    5.3,    1.5,    2.0,    0.9,    2.5,    1.3,    1.1,    0.2,   13.7,    4.4,    0.8,    2.0,    0.9,    2.4,    0.8,    1.5,    0.3,  -15.1,   -0.7,   14.4,   0.00,   0.19,   0.14,   0.00,   0.00,   0.00,   0.37,   0.15,   0.00,   0.17,   0.00,   0.19, 325.29,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      1,      1,      1,      1,
    147,2018/06/27  15:53:21,        A,   0800,              KT245/45R18YXL        04K117BLBCGK ,  407.3,     59,    4.3,    2.6,    1.2,    0.4,    3.0,    2.3,    1.0,    0.8,   15.3,    4.1,    2.2,    1.1,    0.2,    2.2,    1.4,    0.5,    0.3,  -16.4,   -0.6,   15.9,   0.00,   0.15,   0.09,   0.00,   0.00,   0.00,   0.22,   0.27,   0.00,   0.04,   0.00,   0.05, 325.71,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      1,      1,      1,      1,
    148,2018/06/27  15:54:00,        A,   0800,              KT245/45R18YXL        04K117BLBCGK ,  406.5,     59,    5.3,    2.0,    2.5,    1.1,    2.7,    2.7,    0.8,    0.2,   14.7,    6.1,    2.7,    2.5,    1.0,    2.9,    2.1,    1.5,    0.4,  -14.8,   -0.1,   14.7,   0.00,   0.24,   0.22,   0.00,   0.00,   0.00,   0.50,   0.51,   0.00,   0.08,   0.00,   0.04, 326.23,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      1,      1,      1,      1,
    149,2018/06/27  15:54:28,        A,   0800,              KT245/45R18YXL        04K117BLBCGK ,  407.3,     59,    5.0,    4.3,    0.7,    0.5,    1.6,    1.1,    0.5,    0.2,   14.4,    4.5,    3.9,    0.6,    0.4,    1.5,    0.7,    0.7,    0.4,  -13.0,    0.7,   13.7,   0.00,   0.40,   0.16,   0.00,   0.00,   0.00,   0.46,   0.46,   0.00,   0.04,   0.00,   0.03, 326.23,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      1,      1,      1,      1,
    150,2018/06/27  15:54:55,        A,   0800,              KT245/45R18YXL        04K117BLBCGK ,  408.0,     59,    8.2,    1.9,    0.7,    0.6,    2.2,    0.8,    1.1,    0.5,   13.4,    8.5,    2.2,    0.7,    0.6,    2.3,    0.7,    1.1,    0.5,  -14.8,   -0.7,   14.1,   0.00,   0.23,   0.17,   0.00,   0.00,   0.00,   0.42,   0.08,   0.00,   0.23,   0.00,   0.22, 325.29,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      1,      1,      1,      1,
    151,2018/06/27  15:55:21,        B,   0800,              KT245/45R18YXL        04K117BLBCGK ,  407.3,     59,   10.5,    9.2,    1.3,    0.7,    1.3,    0.7,    0.0,    0.2,   14.6,    9.2,    7.8,    1.1,    0.7,    2.2,    1.6,    0.5,    0.1,  -15.0,   -0.2,   14.8,   0.00,   0.22,   0.12,   0.00,   0.00,   0.00,   0.35,   0.29,   0.00,   0.04,   0.00,   0.04, 325.81,      B,      B,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      1,      1,      1,      1,
    152,2018/06/27  15:55:49,        B,   0800,              KT245/45R18YXL        04K117BLBCGK ,  408.0,     59,    7.4,    6.2,    1.2,    0.7,    1.9,    0.9,    0.6,    0.7,   13.3,    6.4,    5.4,    1.0,    0.6,    3.0,    2.1,    0.4,    0.8,  -13.9,   -0.3,   13.6,   0.00,   0.28,   0.32,   0.00,   0.00,   0.00,   0.46,   0.12,   0.00,   0.25,   0.00,   0.28, 325.71,      A,      B,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      1,      1,      1,      1,
    153,2018/06/27  15:56:16,        A,   0800,              KT245/45R18YXL        04K117BLBCGK ,  408.0,     59,    5.0,    2.6,    2.0,    0.7,    1.0,    0.5,    0.2,    0.4,   13.9,    5.9,    3.8,    1.7,    0.6,    2.7,    1.9,    0.5,    0.5,  -15.0,   -0.6,   14.4,   0.00,   0.23,   0.15,   0.00,   0.00,   0.00,   0.59,   0.27,   0.00,   0.25,   0.00,   0.21, 325.81,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      1,      1,      1,      1,
    154,2018/06/27  15:56:56,        A,   0800,              KT245/45R18YXL        04K117BLBCGK ,  406.5,     59,    6.6,    4.9,    1.9,    0.2,    1.7,    0.6,    0.8,    0.1,   13.7,    5.9,    4.0,    1.5,    0.2,    1.5,    1.0,    0.5,    0.3,  -14.5,   -0.4,   14.1,   0.00,   0.30,   0.27,   0.00,   0.00,   0.00,   0.37,   0.36,   0.00,   0.07,   0.00,   0.05, 325.29,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      1,      1,      1,      1,
    155,2018/06/27  15:57:23,        A,   0800,              KT245/45R18YXL        04K117BLBCGK ,  407.3,     59,    7.4,    5.1,    2.2,    1.8,    2.2,    1.8,    0.4,    0.1,   12.6,    8.1,    6.2,    2.1,    1.6,    2.8,    2.6,    0.2,    0.2,  -15.7,   -1.5,   14.2,   0.00,   0.22,   0.20,   0.00,   0.00,   0.00,   0.49,   0.11,   0.00,   0.23,   0.00,   0.22, 326.02,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      1,      1,      1,      1,
    156,2018/06/27  15:57:51,        A,   0800,              KT245/45R18YXL        04K117BLBCGK ,  406.5,     59,    4.6,    3.1,    0.8,    0.1,    2.4,    1.6,    0.6,    0.4,   15.6,    5.0,    3.5,    0.8,    0.1,    1.8,    0.8,    0.7,    0.3,  -13.5,    1.1,   14.5,   0.00,   0.13,   0.05,   0.00,   0.00,   0.00,   0.46,   0.17,   0.00,   0.18,   0.00,   0.24, 326.13,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      1,      1,      1,      1,
    157,2018/06/27  15:58:19,        A,   0800,              KT245/45R18YXL        04K117BLBCGK ,  409.5,     59,    6.3,    3.1,    2.2,    1.0,    1.8,    1.0,    0.8,    0.4,   16.2,    6.8,    3.8,    2.3,    1.0,    1.6,    1.3,    0.6,    0.1,  -13.7,    1.3,   14.9,   0.00,   0.22,   0.18,   0.00,   0.00,   0.00,   0.46,   0.02,   0.00,   0.29,   0.00,   0.31, 326.13,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      1,      1,      1,      1,
    158,2018/06/27  15:58:45,        A,   0800,              KT245/45R18YXL        04K117BLBCGK ,  406.5,     59,    7.1,    5.2,    2.0,    0.5,    1.8,    0.9,    1.2,    0.2,   13.5,    6.0,    3.9,    1.9,    0.5,    1.4,    0.8,    0.6,    0.4,  -14.6,   -0.6,   14.0,   0.00,   0.23,   0.14,   0.00,   0.00,   0.00,   0.44,   0.16,   0.00,   0.22,   0.00,   0.23, 325.71,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      1,      1,      1,      1,
    159,2018/06/27  15:59:12,        A,   0800,              KT245/45R18YXL        04K117BLBCGK ,  406.5,     59,    4.3,    2.1,    2.4,    0.5,    2.3,    1.9,    0.5,    0.5,   13.4,    3.9,    1.6,    2.2,    0.5,    2.5,    1.9,    0.7,    0.4,  -14.4,   -0.5,   13.9,   0.00,   0.17,   0.10,   0.00,   0.00,   0.00,   0.40,   0.52,   0.00,   0.09,   0.00,   0.06, 325.81,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      1,      1,      1,      1,
    160,2018/06/27  16:13:51,        A,   0800,              KT245/45R18YXL        04K117BLBCGK ,  407.3,     59,    6.4,    3.1,    1.4,    1.6,    1.3,    0.8,    0.3,    0.3,   13.4,    6.4,    3.0,    1.3,    1.5,    2.8,    2.4,    0.3,    0.4,  -13.8,   -0.2,   13.6,   0.00,   0.11,   0.04,   0.00,   0.00,   0.00,   0.35,   0.30,   0.00,   0.07,   0.00,   0.05, 325.81,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      1,      1,      1,      1,
    161,2018/06/27  16:14:16,        A,   0800,              KT245/45R18YXL        04K117BLBCGK ,  407.3,     59,    6.7,    3.3,    1.7,    1.0,    1.1,    0.4,    0.3,    0.3,   14.1,    6.0,    3.3,    1.1,    1.0,    2.3,    1.8,    0.4,    0.2,  -13.3,    0.4,   13.7,   0.00,   0.24,   0.14,   0.00,   0.00,   0.00,   0.30,   0.20,   0.00,   0.07,   0.00,   0.04, 325.81,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      1,      1,      1,      1,
    162,2018/06/27  16:14:42,        A,   0800,              KT245/45R18YXL        04K117BLBCGK ,  407.3,     59,    4.7,    2.5,    0.3,    1.0,    2.2,    1.0,    0.9,    0.6,   14.6,    3.7,    1.3,    0.5,    1.1,    2.2,    1.2,    1.4,    0.3,  -14.1,    0.2,   14.4,   0.00,   0.20,   0.12,   0.00,   0.00,   0.00,   0.63,   0.37,   0.00,   0.12,   0.00,   0.11, 325.92,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      1,      1,      1,      1,
    163,2018/06/27  16:15:09,        A,   0800,              KT245/45R18YXL        04K117BLBCGK ,  407.3,     59,    6.5,    4.9,    0.4,    0.5,    2.5,    1.5,    0.7,    0.5,   13.8,    6.5,    5.0,    0.2,    0.6,    2.9,    1.9,    1.0,    0.3,  -14.9,   -0.5,   14.3,   0.00,   0.23,   0.20,   0.00,   0.00,   0.00,   0.40,   0.10,   0.00,   0.23,   0.00,   0.23, 325.81,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      1,      1,      1,      1,
    164,2018/06/27  16:15:36,        A,   0800,              KT245/45R18YXL        04K117BLBCGK ,  408.0,     59,    4.6,    2.9,    1.0,    0.3,    2.3,    1.6,    0.8,    0.5,   14.7,    3.8,    2.3,    0.8,    0.1,    2.6,    1.9,    0.9,    0.4,  -14.0,    0.3,   14.3,   0.00,   0.30,   0.23,   0.00,   0.00,   0.00,   0.44,   0.12,   0.00,   0.25,   0.00,   0.25, 325.71,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      1,      1,      1,      1,
    165,2018/06/27  16:16:17,        A,   0800,              KT245/45R18YXL        04K117BLBCGK ,  406.5,     59,    7.5,    5.4,    0.6,    0.2,    2.5,    2.1,    0.5,    0.3,   14.8,    7.7,    5.7,    0.7,    0.3,    2.4,    1.7,    0.6,    0.3,  -14.2,    0.3,   14.5,   0.00,   0.18,   0.07,   0.00,   0.00,   0.00,   0.31,   0.18,   0.00,   0.07,   0.00,   0.04, 325.71,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      1,      1,      1,      1,
    166,2018/06/27  16:16:44,        A,   0800,              KT245/45R18YXL        04K117BLBCGK ,  408.0,     59,    6.5,    5.4,    1.4,    1.0,    4.0,    2.9,    0.9,    0.6,   16.0,    5.5,    4.7,    1.2,    0.7,    2.0,    0.9,    1.0,    0.7,  -13.7,    1.2,   14.9,   0.00,   0.31,   0.26,   0.00,   0.00,   0.00,   0.43,   0.30,   0.00,   0.19,   0.00,   0.24, 326.13,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      1,      1,      1,      1,
    167,2018/06/27  16:17:11,        A,   0800,              KT245/45R18YXL        04K117BLBCGK ,  408.0,     59,    7.4,    4.5,    0.8,    1.2,    2.5,    2.0,    0.8,    0.5,   16.0,    7.5,    4.9,    1.2,    1.1,    2.2,    1.7,    0.5,    0.2,  -14.2,    0.9,   15.1,   0.00,   0.17,   0.14,   0.00,   0.00,   0.00,   0.28,   0.33,   0.00,   0.08,   0.00,   0.05, 326.13,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      1,      1,      1,      1,
    168,2018/06/27  16:17:39,        A,   0800,              KT245/45R18YXL        04K117BLBCGK ,  408.8,     59,    6.4,    3.2,    1.4,    1.9,    2.3,    1.2,    0.7,    0.7,   13.5,    6.7,    3.2,    1.0,    1.9,    2.2,    0.3,    1.1,    0.5,  -14.5,   -0.5,   14.0,   0.00,   0.12,   0.05,   0.00,   0.00,   0.00,   0.49,   0.12,   0.00,   0.27,   0.00,   0.24, 325.40,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      1,      1,      1,      1,
    169,2018/06/27  16:18:06,        A,   0800,              KT245/45R18YXL        04K117BLBCGK ,  408.0,     59,    7.5,    4.2,    2.3,    0.9,    2.4,    1.3,    0.9,    0.6,   15.3,    6.3,    3.9,    1.8,    0.9,    1.2,    0.3,    0.3,    0.5,  -13.9,    0.7,   14.6,   0.00,   0.25,   0.14,   0.00,   0.00,   0.00,   0.55,   0.36,   0.00,   0.19,   0.00,   0.24, 325.92,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      1,      1,      1,      1,
    170,2018/06/27  16:18:33,        A,   0800,              KT245/45R18YXL        04K117BLBCGK ,  408.0,     59,    3.9,    1.8,    1.7,    0.2,    2.2,    1.6,    1.1,    0.6,   13.9,    4.2,    2.1,    1.9,    0.3,    2.6,    1.6,    1.7,    0.4,  -13.5,    0.2,   13.7,   0.00,   0.20,   0.12,   0.00,   0.00,   0.00,   0.46,   0.06,   0.00,   0.23,   0.00,   0.25, 326.13,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      1,      1,      1,      1,
    171,2018/06/27  16:19:17,        A,   0800,              KT245/45R18YXL        04K117BLBCGK ,  406.5,     59,    4.7,    3.1,    1.0,    0.4,    2.0,    1.1,    0.4,    0.6,   12.9,    4.2,    3.3,    0.8,    0.3,    1.6,    1.2,    0.4,    0.4,  -14.5,   -0.8,   13.7,   0.00,   0.27,   0.21,   0.00,   0.00,   0.00,   0.42,   0.26,   0.00,   0.20,   0.00,   0.19, 325.71,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      1,      1,      1,      1,
    172,2018/06/27  16:19:44,        A,   0800,              KT245/45R18YXL        04K117BLBCGK ,  406.5,     59,    7.6,    4.2,    2.1,    1.7,    1.5,    0.9,    0.4,    0.3,   14.3,    7.4,    4.2,    1.6,    1.6,    1.9,    0.9,    0.4,    0.7,  -15.7,   -0.7,   15.0,   0.00,   0.23,   0.12,   0.00,   0.00,   0.00,   0.41,   0.28,   0.00,   0.11,   0.00,   0.13, 326.02,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      1,      1,      1,      1,
    173,2018/06/27  16:20:11,        A,   0800,              KT245/45R18YXL        04K117BLBCGK ,  406.5,     59,    7.4,    6.0,    1.1,    0.7,    2.7,    2.3,    0.5,    0.3,   15.6,    7.6,    6.4,    0.8,    0.5,    2.4,    1.7,    0.7,    0.4,  -14.2,    0.7,   14.9,   0.00,   0.18,   0.07,   0.00,   0.00,   0.00,   0.55,   0.32,   0.00,   0.20,   0.00,   0.18, 325.50,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      1,      1,      1,      1,
    174,2018/06/27  16:20:52,        A,   0800,              KT245/45R18YXL        04K117BLBCGK ,  407.3,     59,    8.0,    5.9,    0.7,    0.3,    2.6,    2.0,    0.4,    0.7,   14.9,    7.9,    6.0,    0.9,    0.2,    1.5,    0.1,    0.6,    0.8,  -16.1,   -0.6,   15.5,   0.00,   0.09,   0.04,   0.00,   0.00,   0.00,   0.52,   0.26,   0.00,   0.22,   0.00,   0.22, 325.71,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      1,      1,      1,      1,
    175,2018/06/27  16:21:19,        A,   0800,              KT245/45R18YXL        04K117BLBCGK ,  406.5,     59,    4.2,    2.7,    1.1,    0.5,    1.8,    0.9,    0.8,    0.2,   14.1,    4.0,    2.9,    0.6,    0.6,    1.4,    0.7,    0.7,    0.1,  -15.8,   -0.9,   14.9,   0.00,   0.16,   0.15,   0.00,   0.00,   0.00,   0.49,   0.11,   0.00,   0.23,   0.00,   0.18, 325.71,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      1,      1,      1,      1,
    176,2018/06/27  16:21:46,        A,   0800,              KT245/45R18YXL        04K117BLBCGK ,  408.8,     59,    6.6,    5.3,    1.1,    0.2,    3.3,    2.8,    0.6,    0.3,   15.5,    6.0,    4.3,    1.0,    0.2,    2.7,    1.5,    1.2,    0.4,  -15.7,   -0.1,   15.6,   0.00,   0.31,   0.31,   0.00,   0.00,   0.00,   0.37,   0.36,   0.00,   0.05,   0.00,   0.09, 325.81,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      1,      1,      1,      1,
    177,2018/06/27  16:22:13,        A,   0800,              KT245/45R18YXL        04K117BLBCGK ,  407.3,     59,    6.9,    5.0,    1.0,    1.1,    3.0,    1.9,    1.1,    0.8,   14.1,    5.3,    4.1,    0.4,    1.0,    1.9,    0.5,    0.8,    0.5,  -16.1,   -1.0,   15.1,   0.00,   0.18,   0.19,   0.00,   0.00,   0.00,   0.28,   0.29,   0.00,   0.04,   0.00,   0.04, 325.50,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      1,      1,      1,      1,
    178,2018/06/27  16:22:41,        A,   0800,              KT245/45R18YXL        04K117BLBCGK ,  407.3,     59,    6.4,    3.4,    1.9,    1.0,    2.3,    0.7,    1.3,    0.5,   12.7,    5.4,    2.3,    2.0,    0.8,    2.0,    0.4,    1.8,    0.0,  -15.9,   -1.6,   14.3,   0.00,   0.14,   0.08,   0.00,   0.00,   0.00,   0.36,   0.09,   0.00,   0.19,   0.00,   0.20, 325.40,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      1,      1,      1,      1,
    179,2018/06/27  16:23:08,        A,   0800,              KT245/45R18YXL        04K117BLBCGK ,  409.5,     59,    5.8,    3.8,    0.9,    0.6,    1.4,    0.9,    0.3,    0.2,   14.2,    5.7,    3.6,    0.6,    0.4,    2.1,    1.5,    0.4,    0.1,  -15.8,   -0.8,   15.0,   0.00,   0.14,   0.10,   0.00,   0.00,   0.00,   0.60,   0.19,   0.00,   0.23,   0.00,   0.22, 325.60,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      1,      1,      1,      1,
    180,2018/06/27  16:23:49,        A,   0800,              KT245/45R18YXL        04K117BLBCGK ,  409.5,     59,    6.5,    4.7,    0.6,    0.4,    3.0,    2.2,    0.4,    0.2,   13.7,    5.4,    3.8,    0.5,    0.2,    2.3,    1.7,    0.6,    0.0,  -13.3,    0.2,   13.5,   0.00,   0.20,   0.15,   0.00,   0.00,   0.00,   0.51,   0.14,   0.00,   0.26,   0.00,   0.26, 326.02,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      1,      1,      1,      1,
    181,2018/06/27  16:24:16,        B,   0800,              KT245/45R18YXL        04K117BLBCGK ,  408.8,     59,    9.0,    8.3,    1.0,    1.1,    2.2,    1.0,    0.4,    0.5,   14.8,    8.8,    7.9,    1.1,    1.1,    1.7,    1.1,    0.3,    0.3,  -14.2,    0.3,   14.5,   0.00,   0.41,   0.25,   0.00,   0.00,   0.00,   0.74,   0.60,   0.00,   0.24,   0.00,   0.22, 326.33,      A,      B,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      1,      1,      1,      1,
    182,2018/06/27  16:24:43,        A,   0800,              KT245/45R18YXL        04K117BLBCGK ,  406.5,     59,    4.8,    1.1,    1.5,    1.2,    2.7,    1.8,    0.8,    0.2,   13.7,    4.7,    1.5,    1.2,    1.1,    2.1,    1.6,    0.7,    0.2,  -13.7,    0.0,   13.7,   0.00,   0.16,   0.10,   0.00,   0.00,   0.00,   0.42,   0.55,   0.00,   0.06,   0.00,   0.04, 326.13,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      1,      1,      1,      1,
    183,2018/06/27  16:25:10,        A,   0800,              KT245/45R18YXL        04K117BLBCGK ,  407.3,     59,    4.9,    2.5,    1.6,    0.7,    2.3,    1.4,    0.8,    0.4,   14.9,    4.1,    1.7,    1.4,    0.6,    1.7,    0.5,    0.8,    0.4,  -13.1,    0.9,   14.0,   0.00,   0.23,   0.17,   0.00,   0.00,   0.00,   0.63,   0.55,   0.00,   0.15,   0.00,   0.17, 326.23,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      1,      1,      1,      1,
    184,2018/06/27  16:25:37,        B,   0800,              KT245/45R18YXL        04K117BLBCGK ,  409.5,     59,   10.6,    6.8,    3.5,    1.0,    3.6,    3.2,    0.5,    0.5,   14.0,    9.8,    5.9,    3.6,    1.0,    3.8,    2.7,    1.0,    0.5,  -13.4,    0.3,   13.7,   0.00,   0.26,   0.21,   0.00,   0.00,   0.00,   0.31,   0.24,   0.00,   0.10,   0.00,   0.13, 325.92,      B,      B,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      1,      1,      1,      1,
    185,2018/06/27  16:26:04,        A,   0800,              KT245/45R18YXL        04K117BLBCGK ,  408.0,     59,    6.8,    1.4,    2.3,    1.3,    2.4,    1.9,    0.4,    0.4,   13.7,    7.0,    2.1,    1.9,    1.3,    1.5,    1.0,    0.1,    0.2,  -14.0,   -0.1,   13.8,   0.00,   0.28,   0.12,   0.00,   0.00,   0.00,   0.55,   0.34,   0.00,   0.20,   0.00,   0.14, 325.81,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      A,      1,      1,      1,      1,
